IDDIST;LONGITUD;LATITUD
080607;-71.33300018;-14.1660862
080608;-71.39264679;-14.15879154
080701;-72.20871735;-14.65079784
080702;-71.99354553;-14.04385281
080703;-71.87693024;-14.33440876
080704;-72.01468658;-14.23772621
080705;-71.64633942;-14.33387947
080706;-72.23633575;-14.46232414
080707;-72.20521545;-14.37721825
080708;-71.84914398;-14.54899788
080801;-71.35281372;-14.92538834
080802;-71.07402802;-15.30077744
080803;-71.63534546;-14.75720215
080804;-71.13887787;-15.08787632
080805;-71.09123993;-14.90737438
080806;-71.34378815;-14.67932796
080807;-71.65825653;-15.00115681
080808;-71.22261047;-14.7379446
080901;-72.74336243;-12.87680626
080902;-72.98313141;-12.41825294
080903;-72.47324371;-13.05095387
080904;-72.64376831;-12.93753338
080905;-72.36209106;-12.91632843
080906;-72.44508362;-12.50712395
080907;-73.63826752;-12.61488914
080908;-72.73295593;-13.24437714
080909;-73.05119324;-13.05337811
080910;-73.81028748;-12.36812878
080911;-73.20874786;-13.30201912
080912;-73.33963013;-13.05443764
080913;-73.47757721;-12.90932655
080914;-72.85890961;-11.75113106
081001;-71.85552216;-13.72663689
081002;-71.86247253;-13.98849773
081003;-72.01935577;-13.86067104
081004;-71.86683655;-13.87094021
081005;-72.07914734;-13.69881248
081006;-71.7862854;-14.13972569
081007;-71.93743134;-13.76870632
081008;-71.76921844;-13.97482395
081009;-71.91247559;-13.65090942
081101;-71.46408844;-13.30138302
081102;-71.6764679;-13.56426334
081103;-71.76932526;-13.13928604
081104;-71.65412903;-13.40301895
081105;-71.63104248;-13.51101017
081106;-71.46348572;-13.04505062
081201;-71.59921265;-13.68787479
081202;-71.70030975;-13.66578674
081203;-70.74891663;-13.34231472
081204;-71.34390259;-13.53697014
081205;-71.50582123;-13.60041142
081206;-71.43795013;-13.88597298
081207;-71.67243195;-13.7553072
081208;-71.76778412;-13.64500523
081209;-70.91271973;-13.63980198
081210;-71.26898956;-13.68767643
081211;-71.78855133;-13.57405472
081212;-71.53304291;-13.80559826
081301;-72.13117218;-13.24491787
081302;-72.0388031;-13.40937996
081303;-72.04940033;-13.34183788
081304;-72.50012207;-13.2014761
081305;-72.16246796;-13.33705616
081306;-72.31638336;-13.23646259
081307;-72.07420349;-13.29437923
090101;-75.00868225;-12.86285114
090102;-75.37129211;-12.70409489
090103;-74.82355499;-12.599576
090104;-75.039711;-12.51802444
090105;-75.05565643;-12.45990658
090106;-74.95707703;-13.04591656
090107;-75.18222809;-12.40142059
090108;-75.01464081;-12.49640369
090109;-75.08003235;-12.55320263
